Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
111,2.6855,-3.3569,-1.2817,-0.1304,1.0073,-0.083,156.7992,-165.4935,-50.0698
112,2.3193,-2.8687,-1.1597,-0.1157,0.999,-0.0752,149.0561,-151.7975,-43.8111
113,2.4414,-3.0518,-1.3428,-0.1094,0.9902,-0.0742,135.5055,-152.9388,-40.6817
114,2.7466,-3.8452,-1.8921,-0.1016,0.9756,-0.084,135.5055,-152.9388,-40.6817
115,2.4414,-4.0894,-2.1362,-0.1069,0.9741,-0.0923,143.2487,-159.7868,-40.6817
116,1.4648,-3.8452,-2.5635,-0.1187,0.978,-0.0986,143.2487,-155.2215,-65.7166
117,0.9766,-3.54,-2.8687,-0.1245,0.9863,-0.1064,143.2487,-155.2215,-65.7166
118,0.6714,-3.0518,-3.1738,-0.1304,0.9937,-0.1118,133.5697,-156.3628,-37.5523
119,0.5493,-1.4038,-3.7231,-0.1309,0.9854,-0.1167,137.4413,-158.6455,-56.3285
120,0.5493,-0.7324,-4.2114,-0.1279,0.9771,-0.1211,145.1845,-149.5148,-37.5523
121,-0.1221,0.6714,-5.3101,-0.1201,0.9629,-0.1245,145.1845,-149.5148,-37.5523
122,-0.7935,1.2207,-5.9814,-0.1123,0.9624,-0.1221,143.2487,-148.3735,-46.9404
123,-2.1362,1.709,-6.958,-0.0981,0.9771,-0.124,147.1203,-150.6561,-40.6817
124,-2.4414,1.709,-7.3853,-0.0908,0.9844,-0.1279,143.2487,-162.0695,-71.9753
125,-2.5635,1.6479,-7.8735,-0.084,0.9902,-0.126,143.2487,-162.0695,-71.9753
126,-2.3804,1.1597,-8.8501,-0.0752,0.9976,-0.1284,141.3129,-147.2321,-56.3285
127,-2.4414,0.9766,-9.2163,-0.0698,0.9961,-0.127,147.1203,-155.2215,-46.9404
128,-2.5024,0.061,-10.3149,-0.0601,0.9956,-0.1182,147.1203,-155.2215,-46.9404
129,-2.5635,-0.6104,-10.9863,-0.0542,0.9946,-0.1191,139.3771,-150.6561,-59.4579
130,-2.8687,-1.709,-12.5732,-0.0522,0.9966,-0.1245,147.1203,-166.6348,-46.9404
131,-3.2349,-1.8311,-13.3057,-0.0513,0.9946,-0.1265,141.3129,-149.5148,-31.2936
132,-4.3945,-1.8921,-14.5874,-0.0601,0.9941,-0.1216,141.3129,-149.5148,-31.2936
133,-4.6387,-1.9531,-15.1367,-0.0688,0.9927,-0.1123,133.5697,-158.6455,-56.3285
